[0424/004348:ERROR:ipc_channel_win.cc(519)] pipe error: 232
[0427/161025:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161030:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161035:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161040:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161045:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161050:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161055:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161100:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161105:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161110:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161115:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161120:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161125:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161130:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161135:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161140:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161145:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161155:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161200:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161205:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161210:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161215:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161220:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161225:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161235:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161240:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161245:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161250:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161255:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161300:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161305:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161310:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161315:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161320:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/161325:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/171226:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/171231:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/171236:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/171241:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0427/171246:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
